Generation,Fitness (R Square),MAE,Hidden Layers,Neurons Per Layer,Batch Size,Dropout,Initial Learn Rate
0,-0.039026252925395966,0.0010503082303330302,3.2726697666080424,73.39981332851485,1734.0358655581963,0.2918741475519227,0.0871932446842711
1,-0.045186612755060196,0.001057240180671215,3.2726697666080424,73.39981332851485,1734.0358655581963,0.2918741475519227,0.0871932446842711
2,-0.03603874891996384,0.001048903912305832,1.8034864438054394,24.289016240129982,1803.013459314058,0.2918741475519227,0.08574746278040005
3,-0.03600899130105972,0.0010472344001755118,1.8034864438054394,24.289016240129982,1803.013459314058,0.2918741475519227,0.08574746278040005
4,-0.03773883357644081,0.0010499301133677363,1.8034864438054394,24.289016240129982,1803.013459314058,0.2918741475519227,0.08574746278040005
5,-0.035776879638433456,0.0010472458088770509,1.7990814552366747,94.19416561283366,1134.0319487704019,0.4164892976819227,0.08574746278040005
6,-0.036688610911369324,0.0010485290549695492,1.8034864438054394,24.289016240129982,1134.0319487704019,0.349027887527274,0.03861469149601416
7,-0.03469761833548546,0.0010468887630850077,1.7267946347237892,24.289016240129982,1734.0358655581963,0.362404706278315,0.007090796547293498
8,-0.03429366275668144,0.0010474263690412045,1.7267946347237892,24.289016240129982,1734.0358655581963,0.362404706278315,0.007090796547293498
9,-0.03437558561563492,0.001046292600221932,1.8034864438054394,24.289016240129982,1803.013459314058,0.349027887527274,0.004587161725770879
10,-0.03416521102190018,0.0010464859660714865,2.0067303497235898,42.499065248266355,1803.013459314058,0.2378034147542114,0.004587161725770879
11,-0.03340858593583107,0.0010459426557645202,1.0443352399731154,24.289016240129982,1732.7951456065991,0.4164892976819227,0.004587161725770879
12,-0.03388477489352226,0.0010468143736943603,1.0443352399731154,24.289016240129982,1732.7951456065991,0.4164892976819227,0.004587161725770879
13,-0.03382705897092819,0.0010467858519405127,1.0179866220634404,24.289016240129982,1732.7951456065991,0.4164892976819227,0.004587161725770879
14,-0.03435606509447098,0.0010469664121046662,1.0443352399731154,33.82099387700167,1732.7951456065991,0.11944300630735999,0.004587161725770879
